,tracks,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,url,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_url,genres,popularity,track_url,created_year,rank
122,空の青さを知る人よ,Aimyon,0.575,0.716,7.0,-1.97,1.0,0.033,0.184,0.0,0.31,0.635,107.984,audio_features,https://open.spotify.com/track/6pHcxtpwNOIATrwHCL5WNw,6pHcxtpwNOIATrwHCL5WNw,spotify:track:6pHcxtpwNOIATrwHCL5WNw,https://api.spotify.com/v1/tracks/6pHcxtpwNOIATrwHCL5WNw,https://api.spotify.com/v1/audio-analysis/6pHcxtpwNOIATrwHCL5WNw,304933.0,4.0,https://open.spotify.com/artist/5kVZa4lFUmAQlBogl1fkd6,"['j-acoustic', 'j-pop']",67,https://open.spotify.com/embed/track/6pHcxtpwNOIATrwHCL5WNw,2021,72
123,HIP,MAMAMOO,0.784,0.726,3.0,-4.606,0.0,0.136,0.0406,4.03e-05,0.0857,0.825,138.033,audio_features,https://open.spotify.com/track/6Jj5jqglkS6Pm1gXo5eiyA,6Jj5jqglkS6Pm1gXo5eiyA,spotify:track:6Jj5jqglkS6Pm1gXo5eiyA,https://api.spotify.com/v1/tracks/6Jj5jqglkS6Pm1gXo5eiyA,https://api.spotify.com/v1/audio-analysis/6Jj5jqglkS6Pm1gXo5eiyA,195305.0,4.0,https://open.spotify.com/artist/0XATRDCYuuGhk0oE7C0o5G,"['k-pop', 'k-pop girl group']",67,https://open.spotify.com/embed/track/6Jj5jqglkS6Pm1gXo5eiyA,2021,73
124,OH-EH-OH,JO1,0.649,0.941,5.0,-2.801,0.0,0.0402,0.0162,0.0,0.342,0.61,133.005,audio_features,https://open.spotify.com/track/5RIYgkT6LqqfOyBGHKdNV5,5RIYgkT6LqqfOyBGHKdNV5,spotify:track:5RIYgkT6LqqfOyBGHKdNV5,https://api.spotify.com/v1/tracks/5RIYgkT6LqqfOyBGHKdNV5,https://api.spotify.com/v1/audio-analysis/5RIYgkT6LqqfOyBGHKdNV5,182400.0,4.0,https://open.spotify.com/artist/2koP6FEfIEVk4l2Fe6jFhu,['j-pop boy group'],59,https://open.spotify.com/embed/track/5RIYgkT6LqqfOyBGHKdNV5,2021,74
125,Never Grow Up,CHANMINA,0.805,0.858,10.0,-4.532,1.0,0.059,0.145,2.66e-05,0.0686,0.483,105.021,audio_features,https://open.spotify.com/track/5aDgM8rYPT15CqjkN1EIKq,5aDgM8rYPT15CqjkN1EIKq,spotify:track:5aDgM8rYPT15CqjkN1EIKq,https://api.spotify.com/v1/tracks/5aDgM8rYPT15CqjkN1EIKq,https://api.spotify.com/v1/audio-analysis/5aDgM8rYPT15CqjkN1EIKq,196253.0,4.0,https://open.spotify.com/artist/2vjeuQwzSP5ErC1S41gONX,"['j-rap', 'josei rap']",62,https://open.spotify.com/embed/track/5aDgM8rYPT15CqjkN1EIKq,2021,75
126,ON,BTS,0.583,0.817,9.0,-5.146,0.0,0.0987,0.118,0.0,0.338,0.438,105.936,audio_features,https://open.spotify.com/track/6xmllRxAVXF6il4BOO7GNG,6xmllRxAVXF6il4BOO7GNG,spotify:track:6xmllRxAVXF6il4BOO7GNG,https://api.spotify.com/v1/tracks/6xmllRxAVXF6il4BOO7GNG,https://api.spotify.com/v1/audio-analysis/6xmllRxAVXF6il4BOO7GNG,246381.0,4.0,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group']",91,https://open.spotify.com/embed/track/6xmllRxAVXF6il4BOO7GNG,2021,76
127,ハッピーエンド,back number,0.359,0.648,6.0,-3.36,0.0,0.0373,0.047,2.43e-06,0.16,0.336,78.308,audio_features,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J,0ssEfLe9aqPhMmLXKqBw6J,spotify:track:0ssEfLe9aqPhMmLXKqBw6J,https://api.spotify.com/v1/tracks/0ssEfLe9aqPhMmLXKqBw6J,https://api.spotify.com/v1/audio-analysis/0ssEfLe9aqPhMmLXKqBw6J,314147.0,4.0,https://open.spotify.com/artist/6rs1KAoQnFalSqSU4LTh8g,"['j-pop', 'j-rock']",70,https://open.spotify.com/embed/track/0ssEfLe9aqPhMmLXKqBw6J,2021,77
128,秒針を噛む,ZUTOMAYO,0.655,0.962,1.0,-3.055,0.0,0.0443,0.0197,5.56e-06,0.253,0.775,129.902,audio_features,https://open.spotify.com/track/4HgsPAX3MmMgIT60hJ4W4U,4HgsPAX3MmMgIT60hJ4W4U,spotify:track:4HgsPAX3MmMgIT60hJ4W4U,https://api.spotify.com/v1/tracks/4HgsPAX3MmMgIT60hJ4W4U,https://api.spotify.com/v1/audio-analysis/4HgsPAX3MmMgIT60hJ4W4U,260800.0,4.0,https://open.spotify.com/artist/38WbKH6oKAZskBhqDFA8Uj,['j-pop'],64,https://open.spotify.com/embed/track/4HgsPAX3MmMgIT60hJ4W4U,2021,78
129,ロマンチシズム,Mrs. GREEN APPLE,0.598,0.878,10.0,-3.144,1.0,0.0634,0.0038,0.0,0.0468,0.901,125.529,audio_features,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs,0JcI7OdALbpSFkyKoufRYs,spotify:track:0JcI7OdALbpSFkyKoufRYs,https://api.spotify.com/v1/tracks/0JcI7OdALbpSFkyKoufRYs,https://api.spotify.com/v1/audio-analysis/0JcI7OdALbpSFkyKoufRYs,213613.0,4.0,https://open.spotify.com/artist/4QvgGvpgzgyUOo8Yp8LDm9,"['anime rock', 'j-pop', 'j-rock']",69,https://open.spotify.com/embed/track/0JcI7OdALbpSFkyKoufRYs,2021,79
130,WANNABE,ITZY,0.809,0.911,6.0,-4.41,0.0,0.0617,0.00795,0.000179,0.181,0.64,122.035,audio_features,https://open.spotify.com/track/4wJKGMBKvoyYhGo7bXVfTd,4wJKGMBKvoyYhGo7bXVfTd,spotify:track:4wJKGMBKvoyYhGo7bXVfTd,https://api.spotify.com/v1/tracks/4wJKGMBKvoyYhGo7bXVfTd,https://api.spotify.com/v1/audio-analysis/4wJKGMBKvoyYhGo7bXVfTd,191242.0,4.0,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,['k-pop girl group'],73,https://open.spotify.com/embed/track/4wJKGMBKvoyYhGo7bXVfTd,2021,80
131,たぶん,YOASOBI,0.747,0.666,5.0,-6.395,1.0,0.0324,0.146,0.000912,0.0981,0.731,90.008,audio_features,https://open.spotify.com/track/62Lv9WcrfzJqhvYDbilJy3,62Lv9WcrfzJqhvYDbilJy3,spotify:track:62Lv9WcrfzJqhvYDbilJy3,https://api.spotify.com/v1/tracks/62Lv9WcrfzJqhvYDbilJy3,https://api.spotify.com/v1/audio-analysis/62Lv9WcrfzJqhvYDbilJy3,258667.0,4.0,https://open.spotify.com/artist/64tJ2EAv1R6UaZqc4iOCyj,"['j-pop', 'japanese teen pop']",73,https://open.spotify.com/embed/track/62Lv9WcrfzJqhvYDbilJy3,2021,81
132,奏(かなで),Sukima Switch,0.519,0.666,10.0,-6.163,1.0,0.0262,0.553,0.000169,0.0948,0.461,149.839,audio_features,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG,5RbMlPFL4gVyEHW2lEOuzG,spotify:track:5RbMlPFL4gVyEHW2lEOuzG,https://api.spotify.com/v1/tracks/5RbMlPFL4gVyEHW2lEOuzG,https://api.spotify.com/v1/audio-analysis/5RbMlPFL4gVyEHW2lEOuzG,328627.0,4.0,https://open.spotify.com/artist/0wRzWf3I4lUl9hdFF5uL0m,"['anime', 'j-pop', 'j-rock']",56,https://open.spotify.com/embed/track/5RbMlPFL4gVyEHW2lEOuzG,2021,82
133,群青,YOASOBI,0.719,0.87,10.0,-3.073,1.0,0.0472,0.321,0.0,0.187,0.732,134.979,audio_features,https://open.spotify.com/track/0T4AitQuq8IJhWBWuZwkFA,0T4AitQuq8IJhWBWuZwkFA,spotify:track:0T4AitQuq8IJhWBWuZwkFA,https://api.spotify.com/v1/tracks/0T4AitQuq8IJhWBWuZwkFA,https://api.spotify.com/v1/audio-analysis/0T4AitQuq8IJhWBWuZwkFA,248444.0,4.0,https://open.spotify.com/artist/64tJ2EAv1R6UaZqc4iOCyj,"['j-pop', 'japanese teen pop']",73,https://open.spotify.com/embed/track/0T4AitQuq8IJhWBWuZwkFA,2021,83
134,HANABI,Mr.Children,0.638,0.766,1.0,-5.541,1.0,0.0268,0.157,0.0,0.124,0.595,112.005,audio_features,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua,0AU7xhipAm9Saq0k8A9Iua,spotify:track:0AU7xhipAm9Saq0k8A9Iua,https://api.spotify.com/v1/tracks/0AU7xhipAm9Saq0k8A9Iua,https://api.spotify.com/v1/audio-analysis/0AU7xhipAm9Saq0k8A9Iua,342773.0,4.0,https://open.spotify.com/artist/1qma7XhwZotCAucL7NHVLY,"['classic j-pop', 'j-pop', 'j-rock']",63,https://open.spotify.com/embed/track/0AU7xhipAm9Saq0k8A9Iua,2021,84
135,失恋、ありがとう,AKB48,0.464,0.852,11.0,-3.752,1.0,0.0323,0.00445,2.35e-06,0.359,0.671,151.967,audio_features,https://open.spotify.com/track/2pBuPWvBIn432G5QF80NNl,2pBuPWvBIn432G5QF80NNl,spotify:track:2pBuPWvBIn432G5QF80NNl,https://api.spotify.com/v1/tracks/2pBuPWvBIn432G5QF80NNl,https://api.spotify.com/v1/audio-analysis/2pBuPWvBIn432G5QF80NNl,276640.0,4.0,https://open.spotify.com/artist/01wau5CL3Z1vfJJWkzBkqg,"['48g', 'j-idol', 'j-pop', 'j-pop girl group']",54,https://open.spotify.com/embed/track/2pBuPWvBIn432G5QF80NNl,2021,85
136,キンモクセイ,オレンジスパイニクラブ,0.554,0.761,5.0,-3.937,1.0,0.034,0.0991,0.0,0.145,0.327,105.041,audio_features,https://open.spotify.com/track/7p8JJm7CT2F4k11f1DtNUa,7p8JJm7CT2F4k11f1DtNUa,spotify:track:7p8JJm7CT2F4k11f1DtNUa,https://api.spotify.com/v1/tracks/7p8JJm7CT2F4k11f1DtNUa,https://api.spotify.com/v1/audio-analysis/7p8JJm7CT2F4k11f1DtNUa,231436.0,4.0,https://open.spotify.com/artist/1wJL6nbdvPwqPYuoqiw5aN,['japanese alternative rock'],44,https://open.spotify.com/embed/track/7p8JJm7CT2F4k11f1DtNUa,2021,86
137,HandClap,Fitz and The Tantrums,0.636,0.836,8.0,-3.004,1.0,0.0427,0.00609,0.000157,0.0828,0.715,139.956,audio_features,https://open.spotify.com/track/7j56HrjR9cGzvekvZY3Faz,7j56HrjR9cGzvekvZY3Faz,spotify:track:7j56HrjR9cGzvekvZY3Faz,https://api.spotify.com/v1/tracks/7j56HrjR9cGzvekvZY3Faz,https://api.spotify.com/v1/audio-analysis/7j56HrjR9cGzvekvZY3Faz,193253.0,4.0,https://open.spotify.com/artist/4AcHt3JxKy59IX7JNNlZn4,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",65,https://open.spotify.com/embed/track/7j56HrjR9cGzvekvZY3Faz,2021,87
138,Rain On Me (with Ariana Grande),Lady Gaga,0.672,0.855,9.0,-3.764,1.0,0.0397,0.021,0.0,0.323,0.646,123.056,audio_features,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,7ju97lgwC2rKQ6wwsf9no9,spotify:track:7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/tracks/7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/audio-analysis/7ju97lgwC2rKQ6wwsf9no9,182200.0,4.0,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,"['art pop', 'dance pop', 'pop']",84,https://open.spotify.com/embed/track/7ju97lgwC2rKQ6wwsf9no9,2021,88
139,だから僕は音楽を辞めた,ヨルシカ,0.65,0.88,4.0,-5.326,1.0,0.0283,0.36,0.00369,0.23,0.921,124.985,audio_features,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM,5j7ixaLeGTGSv4DzKs0pCM,spotify:track:5j7ixaLeGTGSv4DzKs0pCM,https://api.spotify.com/v1/tracks/5j7ixaLeGTGSv4DzKs0pCM,https://api.spotify.com/v1/audio-analysis/5j7ixaLeGTGSv4DzKs0pCM,242913.0,4.0,https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik,['j-pop'],65,https://open.spotify.com/embed/track/5j7ixaLeGTGSv4DzKs0pCM,2021,89
140,かくれんぼ,Yuuri,0.671,0.505,9.0,-7.575,1.0,0.0629,0.417,0.0,0.124,0.311,156.019,audio_features,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ,0JTjZnuciQH4M3620aMDtZ,spotify:track:0JTjZnuciQH4M3620aMDtZ,https://api.spotify.com/v1/tracks/0JTjZnuciQH4M3620aMDtZ,https://api.spotify.com/v1/audio-analysis/0JTjZnuciQH4M3620aMDtZ,271093.0,4.0,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",68,https://open.spotify.com/embed/track/0JTjZnuciQH4M3620aMDtZ,2021,90
141,ビンテージ,Official HIGE DANdism,0.449,0.819,2.0,-5.169,1.0,0.0513,0.204,0.0,0.289,0.507,180.019,audio_features,https://open.spotify.com/track/0U9vBvoG3LN1PnuVl47E3W,0U9vBvoG3LN1PnuVl47E3W,spotify:track:0U9vBvoG3LN1PnuVl47E3W,https://api.spotify.com/v1/tracks/0U9vBvoG3LN1PnuVl47E3W,https://api.spotify.com/v1/audio-analysis/0U9vBvoG3LN1PnuVl47E3W,252566.0,4.0,https://open.spotify.com/artist/5Vo1hnCRmCM6M4thZCInCj,"['anime', 'anime rock', 'j-pop']",71,https://open.spotify.com/embed/track/0U9vBvoG3LN1PnuVl47E3W,2021,91
142,宿命,Official HIGE DANdism,0.547,0.577,5.0,-6.087,1.0,0.0336,0.0152,0.0,0.109,0.494,164.032,audio_features,https://open.spotify.com/track/2yozZfRYHP7Elsymghu5t3,2yozZfRYHP7Elsymghu5t3,spotify:track:2yozZfRYHP7Elsymghu5t3,https://api.spotify.com/v1/tracks/2yozZfRYHP7Elsymghu5t3,https://api.spotify.com/v1/audio-analysis/2yozZfRYHP7Elsymghu5t3,280856.0,4.0,https://open.spotify.com/artist/5Vo1hnCRmCM6M4thZCInCj,"['anime', 'anime rock', 'j-pop']",71,https://open.spotify.com/embed/track/2yozZfRYHP7Elsymghu5t3,2020,1
143,光と影の日々,AKB48,0.477,0.482,8.0,-5.284,1.0,0.0307,0.201,3.69e-06,0.298,0.346,79.945,audio_features,https://open.spotify.com/track/6Q8WW2D1rLOSD5rUEtjcYL,6Q8WW2D1rLOSD5rUEtjcYL,spotify:track:6Q8WW2D1rLOSD5rUEtjcYL,https://api.spotify.com/v1/tracks/6Q8WW2D1rLOSD5rUEtjcYL,https://api.spotify.com/v1/audio-analysis/6Q8WW2D1rLOSD5rUEtjcYL,267173.0,4.0,https://open.spotify.com/artist/01wau5CL3Z1vfJJWkzBkqg,"['48g', 'j-idol', 'j-pop', 'j-pop girl group']",54,https://open.spotify.com/embed/track/6Q8WW2D1rLOSD5rUEtjcYL,2020,2
144,未来へ,Naoto Inti Raymi,0.564,0.844,0.0,-2.723,1.0,0.0401,0.00885,0.0,0.216,0.609,77.6,audio_features,https://open.spotify.com/track/1J9f5MSGN55Rec8ZxtoMop,1J9f5MSGN55Rec8ZxtoMop,spotify:track:1J9f5MSGN55Rec8ZxtoMop,https://api.spotify.com/v1/tracks/1J9f5MSGN55Rec8ZxtoMop,https://api.spotify.com/v1/audio-analysis/1J9f5MSGN55Rec8ZxtoMop,299120.0,4.0,https://open.spotify.com/artist/77SZmOd2zA3L3n9x697iWb,"['j-pop', 'japanese singer-songwriter']",48,https://open.spotify.com/embed/track/1J9f5MSGN55Rec8ZxtoMop,2020,3
145,いつかきっと,Naoto Inti Raymi,0.555,0.922,2.0,-2.502,1.0,0.0486,0.0903,0.0,0.259,0.74,119.983,audio_features,https://open.spotify.com/track/36xITn5ejtSN14zKaBrrKT,36xITn5ejtSN14zKaBrrKT,spotify:track:36xITn5ejtSN14zKaBrrKT,https://api.spotify.com/v1/tracks/36xITn5ejtSN14zKaBrrKT,https://api.spotify.com/v1/audio-analysis/36xITn5ejtSN14zKaBrrKT,297293.0,4.0,https://open.spotify.com/artist/77SZmOd2zA3L3n9x697iWb,"['j-pop', 'japanese singer-songwriter']",48,https://open.spotify.com/embed/track/36xITn5ejtSN14zKaBrrKT,2020,4
146,明日はきっといい日になる,Yu Takahashi,0.511,0.925,6.0,-2.479,1.0,0.0463,0.0844,0.0,0.146,0.74,105.702,audio_features,https://open.spotify.com/track/0FxlEdRB0G35XXn8gXU2qA,0FxlEdRB0G35XXn8gXU2qA,spotify:track:0FxlEdRB0G35XXn8gXU2qA,https://api.spotify.com/v1/tracks/0FxlEdRB0G35XXn8gXU2qA,https://api.spotify.com/v1/audio-analysis/0FxlEdRB0G35XXn8gXU2qA,292000.0,4.0,https://open.spotify.com/artist/4aDG4r8Fb7lNdMtETDIB4t,"['j-acoustic', 'j-pop', 'j-rock', 'japanese singer-songwriter']",46,https://open.spotify.com/embed/track/0FxlEdRB0G35XXn8gXU2qA,2020,5
147,アイデア,Gen Hoshino,0.478,0.606,10.0,-4.158,1.0,0.217,0.00197,0.0,0.33,0.638,174.208,audio_features,https://open.spotify.com/track/7jgqNMnqAT9FghC1uSYTFF,7jgqNMnqAT9FghC1uSYTFF,spotify:track:7jgqNMnqAT9FghC1uSYTFF,https://api.spotify.com/v1/tracks/7jgqNMnqAT9FghC1uSYTFF,https://api.spotify.com/v1/audio-analysis/7jgqNMnqAT9FghC1uSYTFF,280667.0,4.0,https://open.spotify.com/artist/1S2S00lgLYLGHWA44qGEUs,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']",63,https://open.spotify.com/embed/track/7jgqNMnqAT9FghC1uSYTFF,2020,6
148,心配ないよ(Remaster),PUNCH YUTAKA,0.621,0.803,3.0,-4.907,1.0,0.0424,0.277,0.0,0.361,0.422,80.021,audio_features,https://open.spotify.com/track/4Zac5YQhkvruKW3n5Oyrhx,4Zac5YQhkvruKW3n5Oyrhx,spotify:track:4Zac5YQhkvruKW3n5Oyrhx,https://api.spotify.com/v1/tracks/4Zac5YQhkvruKW3n5Oyrhx,https://api.spotify.com/v1/audio-analysis/4Zac5YQhkvruKW3n5Oyrhx,232436.0,4.0,https://open.spotify.com/artist/0ovp0PVdxBOPrfaE7h0WVN,[],27,https://open.spotify.com/embed/track/4Zac5YQhkvruKW3n5Oyrhx,2020,7
149,STAY TUNE,Suchmos,0.681,0.938,5.0,-4.246,1.0,0.0557,0.0288,0.000264,0.0634,0.6,122.991,audio_features,https://open.spotify.com/track/0albLGvYx6ftOUJ7KF0i5I,0albLGvYx6ftOUJ7KF0i5I,spotify:track:0albLGvYx6ftOUJ7KF0i5I,https://api.spotify.com/v1/tracks/0albLGvYx6ftOUJ7KF0i5I,https://api.spotify.com/v1/audio-analysis/0albLGvYx6ftOUJ7KF0i5I,297333.0,4.0,https://open.spotify.com/artist/0O0hxUrO2PKxZknken3R24,"['j-pop', 'j-rock', 'japanese alternative rock', 'japanese r&b', 'japanese soul']",45,https://open.spotify.com/embed/track/0albLGvYx6ftOUJ7KF0i5I,2020,8
150,青空の下、キミのとなり,ARASHI,0.66,0.988,8.0,-3.134,1.0,0.123,0.456,0.0,0.0961,0.579,128.019,audio_features,https://open.spotify.com/track/7keyH84kNCdYq6LVRMni3Z,7keyH84kNCdYq6LVRMni3Z,spotify:track:7keyH84kNCdYq6LVRMni3Z,https://api.spotify.com/v1/tracks/7keyH84kNCdYq6LVRMni3Z,https://api.spotify.com/v1/audio-analysis/7keyH84kNCdYq6LVRMni3Z,242538.0,4.0,https://open.spotify.com/artist/1XYuC1vxinTjHCNd5clB8C,['j-pop'],63,https://open.spotify.com/embed/track/7keyH84kNCdYq6LVRMni3Z,2020,9
151,瞳,Sakurako Ohara,0.367,0.773,6.0,-3.111,1.0,0.0318,0.262,0.0,0.122,0.359,182.006,audio_features,https://open.spotify.com/track/0CpElcrLvqZyGUa4tc3Zcn,0CpElcrLvqZyGUa4tc3Zcn,spotify:track:0CpElcrLvqZyGUa4tc3Zcn,https://api.spotify.com/v1/tracks/0CpElcrLvqZyGUa4tc3Zcn,https://api.spotify.com/v1/audio-analysis/0CpElcrLvqZyGUa4tc3Zcn,300187.0,4.0,https://open.spotify.com/artist/5TS11vZTUaDP4maTjFCcBU,"['j-acoustic', 'j-idol', 'j-pop']",41,https://open.spotify.com/embed/track/0CpElcrLvqZyGUa4tc3Zcn,2020,10
152,ワタリドリ,[Alexandros],0.508,0.964,9.0,-4.077,1.0,0.0831,0.00141,0.0,0.197,0.609,134.982,audio_features,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o,0ve9Tpz8Yw0I4eXhWsy21o,spotify:track:0ve9Tpz8Yw0I4eXhWsy21o,https://api.spotify.com/v1/tracks/0ve9Tpz8Yw0I4eXhWsy21o,https://api.spotify.com/v1/audio-analysis/0ve9Tpz8Yw0I4eXhWsy21o,248707.0,4.0,https://open.spotify.com/artist/1luOe8HkZQ7zwuaO2wuJqI,"['anime', 'anime rock', 'j-pop', 'j-poprock', 'j-rock']",58,https://open.spotify.com/embed/track/0ve9Tpz8Yw0I4eXhWsy21o,2020,11
153,Lovers,sumika,0.608,0.923,11.0,-2.057,1.0,0.0305,0.0702,0.0,0.298,0.769,114.472,audio_features,https://open.spotify.com/track/3pwe5YS438tETO53DSfTnl,3pwe5YS438tETO53DSfTnl,spotify:track:3pwe5YS438tETO53DSfTnl,https://api.spotify.com/v1/tracks/3pwe5YS438tETO53DSfTnl,https://api.spotify.com/v1/audio-analysis/3pwe5YS438tETO53DSfTnl,250800.0,4.0,https://open.spotify.com/artist/0ySFZq3Wd0SQUyJUzmJAeb,"['anime', 'j-pop', 'j-rock', 'japanese teen pop']",58,https://open.spotify.com/embed/track/3pwe5YS438tETO53DSfTnl,2020,12
154,マリーゴールド,Aimyon,0.545,0.745,2.0,-3.098,1.0,0.0286,0.0452,0.0,0.0907,0.413,106.094,audio_features,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,2cKiHG16JBiqHdi7Llq0r7,spotify:track:2cKiHG16JBiqHdi7Llq0r7,https://api.spotify.com/v1/tracks/2cKiHG16JBiqHdi7Llq0r7,https://api.spotify.com/v1/audio-analysis/2cKiHG16JBiqHdi7Llq0r7,306627.0,4.0,https://open.spotify.com/artist/5kVZa4lFUmAQlBogl1fkd6,"['j-acoustic', 'j-pop']",67,https://open.spotify.com/embed/track/2cKiHG16JBiqHdi7Llq0r7,2020,13
155,原宿いやほい,Kyary Pamyu Pamyu,0.662,0.975,7.0,-0.544,1.0,0.0318,0.063,0.0111,0.148,0.806,127.995,audio_features,https://open.spotify.com/track/5hJO3V0WVGPSSJEHRQCqIC,5hJO3V0WVGPSSJEHRQCqIC,spotify:track:5hJO3V0WVGPSSJEHRQCqIC,https://api.spotify.com/v1/tracks/5hJO3V0WVGPSSJEHRQCqIC,https://api.spotify.com/v1/audio-analysis/5hJO3V0WVGPSSJEHRQCqIC,221250.0,4.0,https://open.spotify.com/artist/7Gh6fW49xfXLP8DTWaLVJP,"['j-idol', 'japanese electropop']",49,https://open.spotify.com/embed/track/5hJO3V0WVGPSSJEHRQCqIC,2020,14
156,もしも僕らがGAMEの主役で,Daoko,0.757,0.882,0.0,-2.599,1.0,0.043,0.0831,0.0,0.121,0.974,137.983,audio_features,https://open.spotify.com/track/6iKzGrRewL0aAjwzxdQFVp,6iKzGrRewL0aAjwzxdQFVp,spotify:track:6iKzGrRewL0aAjwzxdQFVp,https://api.spotify.com/v1/tracks/6iKzGrRewL0aAjwzxdQFVp,https://api.spotify.com/v1/audio-analysis/6iKzGrRewL0aAjwzxdQFVp,229901.0,4.0,https://open.spotify.com/artist/5Qeyh2XKoITt1mlEVtzazC,"['j-pixie', 'japanese electropop']",53,https://open.spotify.com/embed/track/6iKzGrRewL0aAjwzxdQFVp,2020,15
157,ShibuyaK,Daoko,0.598,0.912,9.0,-4.677,0.0,0.0327,0.00635,0.00889,0.169,0.89,128.005,audio_features,https://open.spotify.com/track/6hUO0kmNwu0ge6Bm8AXXc7,6hUO0kmNwu0ge6Bm8AXXc7,spotify:track:6hUO0kmNwu0ge6Bm8AXXc7,https://api.spotify.com/v1/tracks/6hUO0kmNwu0ge6Bm8AXXc7,https://api.spotify.com/v1/audio-analysis/6hUO0kmNwu0ge6Bm8AXXc7,262299.0,4.0,https://open.spotify.com/artist/5Qeyh2XKoITt1mlEVtzazC,"['j-pixie', 'japanese electropop']",53,https://open.spotify.com/embed/track/6hUO0kmNwu0ge6Bm8AXXc7,2020,16
158,淋しい熱帯魚,FEMM,0.701,0.892,9.0,-1.898,0.0,0.0354,0.00111,1e-05,0.165,0.738,128.05,audio_features,https://open.spotify.com/track/2ihet2SBMrayF0MN3BW2SA,2ihet2SBMrayF0MN3BW2SA,spotify:track:2ihet2SBMrayF0MN3BW2SA,https://api.spotify.com/v1/tracks/2ihet2SBMrayF0MN3BW2SA,https://api.spotify.com/v1/audio-analysis/2ihet2SBMrayF0MN3BW2SA,259018.0,4.0,https://open.spotify.com/artist/2Mi7J9LAIe6xEzObKt6JHq,"['j-pop girl group', 'japanese electropop']",33,https://open.spotify.com/embed/track/2ihet2SBMrayF0MN3BW2SA,2020,17
159,卒業 - Radical Hardcore Remix,FEMM,0.298,0.723,11.0,-2.496,0.0,0.0349,0.277,0.0,0.228,0.312,99.292,audio_features,https://open.spotify.com/track/6Q9Ak5bS5ZBMFTkT4WGmNJ,6Q9Ak5bS5ZBMFTkT4WGmNJ,spotify:track:6Q9Ak5bS5ZBMFTkT4WGmNJ,https://api.spotify.com/v1/tracks/6Q9Ak5bS5ZBMFTkT4WGmNJ,https://api.spotify.com/v1/audio-analysis/6Q9Ak5bS5ZBMFTkT4WGmNJ,283366.0,4.0,https://open.spotify.com/artist/2Mi7J9LAIe6xEzObKt6JHq,"['j-pop girl group', 'japanese electropop']",33,https://open.spotify.com/embed/track/6Q9Ak5bS5ZBMFTkT4WGmNJ,2020,18
160,愛を叫べ,ARASHI,0.495,0.898,0.0,-2.844,1.0,0.0346,0.0158,5.89e-06,0.45,0.676,141.997,audio_features,https://open.spotify.com/track/6sESCqEL3UmdmOO2UBrg8c,6sESCqEL3UmdmOO2UBrg8c,spotify:track:6sESCqEL3UmdmOO2UBrg8c,https://api.spotify.com/v1/tracks/6sESCqEL3UmdmOO2UBrg8c,https://api.spotify.com/v1/audio-analysis/6sESCqEL3UmdmOO2UBrg8c,278414.0,4.0,https://open.spotify.com/artist/1XYuC1vxinTjHCNd5clB8C,['j-pop'],63,https://open.spotify.com/embed/track/6sESCqEL3UmdmOO2UBrg8c,2020,19
161,君がくれた夏,Leo Ieiri,0.51,0.615,1.0,-4.207,1.0,0.0283,0.31,0.0,0.117,0.463,169.814,audio_features,https://open.spotify.com/track/6woHdm2NKm0RHbuO7qt4ww,6woHdm2NKm0RHbuO7qt4ww,spotify:track:6woHdm2NKm0RHbuO7qt4ww,https://api.spotify.com/v1/tracks/6woHdm2NKm0RHbuO7qt4ww,https://api.spotify.com/v1/audio-analysis/6woHdm2NKm0RHbuO7qt4ww,258680.0,4.0,https://open.spotify.com/artist/1XErHyc10VN8bfGKma1Yyc,"['j-pop', 'j-poprock']",49,https://open.spotify.com/embed/track/6woHdm2NKm0RHbuO7qt4ww,2020,20
